🛏,1
💃,18
🍾,5
💋,3
ä,7
🉐,3
🐼,2
ڪ,3
ے,3
🍏,3
🍭,1
👦,9
⬇,11
🎸,2
⛴,2
🛳,1
😵,1
♡,23
🔢,2
🐢,3
🐬,1
🐠,2
🦈,2
💐,1
🏌,2
🏫,2
🔖,3
🐸,1
👶,3
🐝,1
🥎,1
🍫,3
📡,1
☘,4
ó,7
ã,9
👁,1
❎,3
🚄,1
🏔,1
🐍,1
■,1
🥚,2
💔,5
😡,37
⬆,6
☝,1
🎲,1
₹,1
💌,1
🦊,17
◼,3
🌧,9
💅,5
☆,4
🔑,1
▫,1
»,2
🛫,3
🧨,2
🌹,2
🔍,2
🤝,6
🧭,1
⚫,1
⚪,1
🧣,1
🤐,1
🥀,1
🙇,3
💶,3
🐥,5
승,1
차,1
감,1
전,1
동,1
킥,1
보,1
드,1
🔲,5
☺,5
🍞,4
🍷,3
🍄,1
🔄,1
😑,3
🚹,1
🌙,5
🗓,5
💤,1
☔,3
🔙,1
🥩,1
ū,1
➥,2
⛰,1
æ,5
ə,2
А,2
л,2
м,2
а,5
т,2
ы,2
ï,3
📝,3
🥶,9
🦋,1
🔎,1
🤛,1
⏱,1
💟,2
☮,2
✝,2
☪,2
☸,2
✡,2
🔯,2
☯,2
☦,2
🛐,2
⛎,2
♈,2
🔐,3
🥐,2
👮,10
👳,1
😖,1
気,1
持,1
ち,1
い,4
場,2
所,2
📺,4
🛎,1
🍨,1
💫,2
🔁,6
👬,1
🚒,2
🥅,3
🚬,4
👕,1
●,4
🦵,1
😼,1
🤵,1
ā,9
😒,3
🚔,3
🎣,4
🧽,2
💓,2
🍇,3
🍼,3
🍒,2
🐉,3
🏰,1
🧝,1
📄,1
✂,1
⏳,2
💣,1
🤧,1
💉,2
☎,1
🏇,2
🎂,10
😓,1
↓,4
📶,1
📿,13
💁,2
🕳,1
🦔,1
🔨,2
♨,5
⚙,2
🦱,2
🧒,50
🔘,25
╱,20
▔,8
╲,20
▏,4
▕,4
🌤,3
⛈,2
☃,4
🎫,1
😴,43
⛺,14
🚡,2
🥊,4
🥋,2
🎽,2
💽,2
🥾,2
🧤,2
🍩,2
🍗,1
☁,18
🐇,1
🐱,1
🔺,3
ر,1
ا,2
ح,1
و,1
🤹,1
🍟,1
🍝,1
💳,3
🚅,1
🦘,1
🏉,3
🦯,7
🦼,2
🛁,1
🕦,2
📆,1
📖,1
🌺,2
🦠,3
🎠,6
🎢,6
🎆,6
𝕄,2
𝕖,6
𝕥,2
𝕋,2
𝕙,3
𝕒,6
𝕞,3
𝕠,3
𝕟,2
𝕕,2
𝕪,1
𝕁,1
𝕦,1
🥒,1
⌚,5
🧼,2
↔,5
💝,1
🧾,1
🦽,1
🏂,3
🎹,1
🎼,3
🎺,1
🥁,1
🎷,1
🧸,2
😟,1
👒,1
⌛,1
­,5
🚢,1
🦀,1
🦢,1
🦚,1
🐓,1
🐊,1
¿,5
¡,5
Ü,31
🐯,1
🐮,1
🐄,1
🏪,1
🌁,1
✊,83
🌑,1
🎞,2
🐀,1
🔹,10
🖥,2
🤾,2
🕘,1
🗞,1
🏅,1
🙎,3
😕,1
🏬,1
🚼,1
🐁,1
🤥,1
🐫,1
♒,1
👂,1
🆑,1
✖,2
🍛,1
🎮,2
☾,2
◌,2
Р,3
о,4
с,7
и,3
я,3
ñ,23
М,1
к,2
в,1
ë,1
Ç,1
ş,2
İ,3
Ο,86
马,1
来,1
西,1
亚,1
´,1
О,1
東,3
京,5
都,1
千,1
代,1
田,2
区,2
即,1
レ,1
ス,1
な,1
メ,1
ン,2
タ,1
ー,2
の,1
る,1
世,1
界,1
線,1
山,1
口,1
宇,1
部,1
市,2
🗻,1
Ꮎ,1
ᴅ,2
ᴄ,2
ᴀ,2
▂,2
✫,2
⌒,2
･,2
ﾟ,2
♋,2
︎,5
เ,21
ร,17
ี,8
ย,19
ล,2
ท,22
ำ,1
ง,19
า,8
น,8
ก,10
ๆ,1
𝘤,1
𝘧,1
𝘮,1
承,1
♎,1
𖤐,1
구,1
역,1
오,1
소,3
리,1
➳,2
빙,1
틴,1
년,1
단,1
투,2
모,1
로,1
우,3
바,1
이,2
게,1
더,1
名,1
古,1
屋,1
효,1
고,1
文,1
🛬,1
福,1
岡,1
出,1
身,1
🚽,1
☂,1
湯,2
溜,2
り,2
温,2
泉,2
🖖,1
🔩,1
ç,3
옹,1
윙,1
녤,1
민,1
⚓,3
′,8
Ō,3
ℝ,1
𝕝,3
𝕚,2
𝕘,1
ℕ,1
𝕣,2
ℂ,1
𝕌,1
𝕊,1
𝔸,1
村,2
川,2
梨,2
農,2
園,2
ʙ,1
ᴏ,1
ʟ,1
ɪ,2
ʜ,2
ᴇ,1
ノ,2
✪,2
‿,1
₿,1
ⓩ,1
║,5
█,3
▌,2
🕸,5
â,1
У,1
р,1
ї,1
н,1
너,1
는,1
연,2
인,1
줄,1
알,1
았,1
겠,1
지,1
만,1
린,1
사,2
실,1
운,1
명,1
었,1
어,1
ｗ,1
ａ,2
ｎ,2
ｄ,2
ｅ,1
ｒ,1
ｌ,1
家,1
庭,1
教,1
師,1
ヒ,1
ッ,1
ト,2
マ,1
└,4
│,2
ச,2
ி,2
ங,1
்,3
க,2
ப,2
ூ,1
ர,2
ு,2
ட,1
ய,1
Ⓐ,1
☭,1
🌕,1
愛,1
知,1
県,2
小,1
牧,1
桃,1
花,1
台,1
🇼,1
̷,1
き,2
み,1
と,3
ぼ,1
く,1
を,1
繋,1
だ,1
ら,1
ラ,2
ブ,2
で,2
ハ,1
が,1
た,1
≠,3
♇,1
🖐,1
🅱,3
💎,2
《,1
》,1
녀,1
시,1
대,1
잭,1
슨,1
나,1
⥃,1
″,2
🦴,1
Ｃ,2
Ｏ,6
Ｌ,2
Ｒ,4
Ａ,2
Ｄ,4
Ｅ,4
Ｓ,2
Ｔ,2
Ε,1
λ,2
ά,1
ς,1
新,1
（,1
長,1
春,1
）,1
🌻,2
🕶,1
―,2
Ѱ,1
Ψ,1
Σ,1
Θ,1
Δ,1
日,3
本,1
𝔱,3
𝔦,3
𝔯,3
𝔢,3
𝔡,3
ส,1
ม,13
ป,10
ะ,10
ศ,9
★,1
月,2
幕,1
張,1
参,2
戦,2
ن,1
ج,1
د,1
ú,2
ค,5
ู,3
แ,3
่,8
้,3
อ,13
จ,3
ั,2
บ,2
พ,4
ซ,2
ข,2
ไ,9
ว,2
ฉ,1
ด,2
ึ,2
ุ,4
ห,7
ㅎ,1
ㅅ,1
ㅇ,2
ㅉ,1
ㄷ,1
☼,2
☽,1
⇡,1
ื,2
็,2
❾,2
¾,2
⁷,1
⁶,1
⁰,1
ช,2
ใ,2
秋,1
↑,1
中,1
华,1
人,1
民,1
共,1
和,1
国,1
𝕔,1
𝟙,1
𝟘,1
𝕗,1
𝟚,1
ø,1
韓,1
流,1
♌,1
Ꮋ,1
Ᏼ,1
🐗,1
♦,2
☉,1
♁,1
🦂,1
∆,1
̩,8
͙,4
˚,2
𝟏,3
𝟔,3
✞,4
𝐦,4
𝐚,3
𝐥,3
𝐞,3
𝐝,1
𝐨,1
å,5
î,1
🕹,2
🃏,2
🎱,3
​,1
🙉,1
🎨,1
